scientific_name_normalized,total_interaction_records,group_Butterflies & moths,group_Other insects,group_Sawflies,group_Beetles,group_Birds,group_Flower flies & other flies,group_True bugs,group_Native bees,"group_Grasshoppers, crickets & katydids",group_Wasps & ants,group_Hummingbirds,group_Mammals,group_Honey bees (non-native)
senna lindheimeriana,34,28.0,4.0,,,,2.0,,,,,,,
senna roemeriana,34,28.0,4.0,,,,2.0,,,,,,,
setaria scheelei,19,15.0,2.0,,,2.0,,,,,,,,
sideroxylon lanuginosum,91,41.0,18.0,,10.0,5.0,5.0,5.0,6.0,,,,1.0,
silphium albiflorum,6,3.0,2.0,,,,,1.0,,,,,,
simsia calva,28,21.0,1.0,,4.0,,,,2.0,,,,,
sisyrinchium angustifolium,5,,3.0,,,,,2.0,,,,,,
solanum triquetrum,100,89.0,3.0,,2.0,,,,6.0,,,,,
solidago altissima,176,99.0,46.0,,2.0,,3.0,1.0,12.0,,13.0,,,
solidago nemoralis,228,101.0,33.0,,2.0,63.0,3.0,1.0,12.0,,13.0,,,
sorghastrum nutans,76,9.0,3.0,,,64.0,,,,,,,,
styphnolobium affine,3,,,,3.0,,,,,,,,,
symphoricarpos orbiculatus,35,28.0,6.0,,,,,,,,,,1.0,
symphyotrichum ericoides,54,42.0,7.0,,,,1.0,,1.0,,1.0,,,2.0
symphyotrichum oblongifolium,50,42.0,3.0,,,,1.0,,1.0,,1.0,,,2.0
symphyotrichum praealtum,65,52.0,8.0,,,,1.0,,1.0,,1.0,,,2.0
taxodium distichum,119,20.0,22.0,,8.0,68.0,,1.0,,,,,,
tecoma stans,82,10.0,1.0,,,60.0,,,9.0,,,1.0,1.0,
tetraneuris scaposa,14,13.0,1.0,,,,,,,,,,,
teucrium canadense,20,4.0,5.0,,,,,,11.0,,,,,
teucrium cubense,11,4.0,1.0,,,,,,6.0,,,,,
thelesperma simplicifolium,4,3.0,,,,,,,1.0,,,,,
tilia americana,201,113.0,17.0,,8.0,63.0,,,,,,,,
tradescantia gigantea,11,8.0,2.0,,1.0,,,,,,,,,
tradescantia humilis,11,8.0,2.0,,1.0,,,,,,,,,
tradescantia occidentalis,12,8.0,3.0,,1.0,,,,,,,,,
tridens albescens,11,9.0,1.0,,,1.0,,,,,,,,
tridens flavus,9,9.0,,,,,,,,,,,,
tripsacum dactyloides,19,8.0,3.0,,,1.0,,1.0,,1.0,,,,5.0
ulmus americana,274,155.0,41.0,,7.0,67.0,,1.0,,1.0,,,2.0,
ulmus crassifolia,512,164.0,180.0,,80.0,78.0,,3.0,,1.0,4.0,,2.0,
ungnadia speciosa,13,10.0,1.0,,,1.0,,,1.0,,,,,
vachellia farnesiana,34,25.0,6.0,1.0,1.0,1.0,,,,,,,,
verbena xutha,20,13.0,,,,,,,7.0,,,,,
verbesina encelioides,190,131.0,31.0,,5.0,,4.0,2.0,9.0,,3.0,,,5.0
verbesina virginica,132,79.0,29.0,,4.0,,4.0,3.0,5.0,,5.0,,,3.0
vernonia baldwinii,45,29.0,8.0,,,,4.0,,4.0,,,,,
vernonia guadalupensis,35,29.0,1.0,,,,1.0,,4.0,,,,,
vernonia lindheimeri,36,30.0,1.0,,,,1.0,,4.0,,,,,
viburnum rufidulum,156,83.0,7.0,,,64.0,,,1.0,,,,1.0,
viguiera dentata,93,51.0,13.0,,,1.0,4.0,,18.0,,1.0,,,5.0
viola missouriensis,29,26.0,3.0,,,,,,,,,,,
vitis mustangensis,133,106.0,16.0,,2.0,2.0,6.0,,,,,,1.0,
wedelia acapulcensis,5,3.0,2.0,,,,,,,,,,,
wedelia acapulcensis var. hispida,40,33.0,4.0,,2.0,,,1.0,,,,,,
yucca constricta,43,38.0,3.0,,1.0,,,1.0,,,,,,
yucca rupicola,48,38.0,8.0,,1.0,,,1.0,,,,,,
yucca treculeana,41,35.0,3.0,,2.0,,,1.0,,,,,,
